coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
BNB,Bull Trend,funding_arbitrage,-7.157472774712131,0.30800973315760605,-0.29607024698955675,9.0
BNB,Crash/Capitulation,dca,3.6809666067018796,0.23368356469054397,0.604453912305337,1.0
BNB,Crash/Capitulation,contrarian,3.5538673947741044,0.07094594594594594,0.22727464987783907,2.0
BNB,Crash/Capitulation,mean_reversion,3.5143364620405095,0.2838197207250327,0.44227335513811306,3.0
BNB,Crash/Capitulation,statistical_arbitrage,1.018517124750416,0.15045237443014436,0.043702446741586964,4.0
BNB,Crash/Capitulation,momentum,-0.013032715244936814,0.07006130707166625,-0.0057020313741096285,5.0
BNB,Crash/Capitulation,grid,-0.5963861326679905,0.3232547234741122,-0.0992965326341102,6.0
BNB,Crash/Capitulation,trend_following,-2.706459907440551,0.3258097595667634,-0.290059348833827,7.0
BNB,Crash/Capitulation,breakout,-3.475861923855377,0.46988169393678125,-0.34080405529107216,8.0
BNB,Crash/Capitulation,funding_arbitrage,-8.195897541914466,0.026288075341029615,-0.020073868846133824,9.0
BNB,High Vol Expansion,dca,3.5546748011294858,0.36893768143351613,1.987179186822769,1.0
BNB,High Vol Expansion,breakout,3.2336950064211973,0.4128127158371758,0.8282771577388992,2.0
BNB,High Vol Expansion,trend_following,2.6332205579926136,0.1714057224036063,0.5098067743790804,3.0
BNB,High Vol Expansion,momentum,0.7879863631928772,0.09878407251212218,0.04422891228236958,4.0
BNB,High Vol Expansion,funding_arbitrage,0.0325716593347081,0.04581021291507126,7.559588459926658e-05,5.0
BNB,High Vol Expansion,contrarian,-1.0591852486077717,0.6197026903327147,-0.3908082460820548,6.0
BNB,High Vol Expansion,grid,-3.3779938119732695,0.6336991443721538,-0.5894245276097331,7.0
BNB,High Vol Expansion,statistical_arbitrage,-4.026457815439929,0.5603239041414527,-0.504725408401246,8.0
BNB,High Vol Expansion,mean_reversion,-6.0352934632689825,0.7697291059612239,-0.7582617806226953,9.0
BNB,Range/Chop,trend_following,0.31630401389176227,0.8616128790825315,-0.09500473324281,1.0
BNB,Range/Chop,breakout,0.2833159936593773,0.5806647191162282,0.04876713272966171,2.0
BNB,Range/Chop,dca,0.2681328716806016,0.7241005135966525,-0.03509630869573721,3.0
BNB,Range/Chop,statistical_arbitrage,-0.12169126542380128,0.5930672404799903,-0.263418322439693,4.0
BNB,Range/Chop,momentum,-0.25586903539405803,0.3153319111559143,-0.17234859767596145,5.0
BNB,Range/Chop,grid,-0.49849032624488415,0.7344498049976391,-0.7214404088948487,6.0
BNB,Range/Chop,mean_reversion,-0.8033798352018221,0.9191886752078008,-0.912286879867585,7.0
BNB,Range/Chop,funding_arbitrage,-5.831854062684256,0.40249852113499895,-0.40249852113499895,8.0
BNB,Range/Chop,contrarian,,0.0,0.0,
BTC,Bear Trend,momentum,0.8473466307095526,0.15129046513501188,0.2173984689191495,1.0
BTC,Bear Trend,dca,0.21403486679554803,0.47615937501869343,-0.17316637789137435,2.0
BTC,Bear Trend,trend_following,0.16983179044718988,0.47159276821325946,-0.06217518385910559,3.0
BTC,Bear Trend,contrarian,-0.032624707261583244,0.2865573250833835,-0.07295588036321654,4.0
BTC,Bear Trend,breakout,-0.11306910575944867,0.5058317249033301,-0.2553351491186405,5.0
BTC,Bear Trend,statistical_arbitrage,-0.4081286095624905,0.4295249831627914,-0.27532709927337395,6.0
BTC,Bear Trend,mean_reversion,-1.0164670638764421,0.6681177119810233,-0.640952105649355,7.0
BTC,Bear Trend,grid,-1.954903520618787,0.5827869945206864,-0.5743459187653556,8.0
BTC,Bear Trend,funding_arbitrage,-2.606198475135641,0.030301101475694203,-0.030301101475694203,9.0
BTC,Bull Trend,dca,2.428051033436089,0.284391494082316,12.430964575785397,1.0
BTC,Bull Trend,trend_following,1.8898279482846791,0.24650606033357647,3.805406796997973,2.0
